code,name
35,Acebuchales (Olea europaea var. Sylvestris)
19,Alcornocales (Quercus suber)
52,Algarrobales (Ceratonia siliqua)
592,Arbolado disperso  de coníferas
593,Arbolado disperso coníferas y frondosas
591,Arbolado disperso de frondosas
33,Bosque ribereño
31,Bosques mixtos de frondosas autóctonas en region biogeográfica mediterranea
44,Choperas y plataneras de producción
46,"Coníferas alóctonas de gestión (Cupressus spp, Cedrus spp. otros pinos, etc.)"
18,Encinares (Quercus ilex)
7,Enebrales (Juniperus spp.)
57,Eucaliptales
41,Frondosas alóctonas con  autóctonas
49,Frondosas alóctonas invasoras
43,Madroñales (Arbutus unedo)
65,Mezcla de coníferas autoctonas con alóctonas
393,Mezcla de coníferas autóctonas en la región biogeográfica Mediterránea
66,"Mezcla de coníferas con frondosas, autoctónas con alóctonas"
403,Mezcla de coníferas y frondosas autóctonas en la región biogeográfica Mediterránea
0,No arbolado
38,Otras especies de producción en mezcla
21,Pinar de pino albar (Pinus sylvestris)
24,Pinar de pino carrasco (Pinus halepensis)
61,Pinar de pino pinaster en región mediterránea
23,Pinar de pino piñonero (Pinus pinea)
25,Pinar de pino salgareño (Pinus nigra)
16,Quejigares (Quercus faginea)
20,Sabinares albares (Juniperus thurifera)
6,Sabinares de Juniperus phoenicea
8,Abedulares (Betula spp.)
2,Abetales (Abies alba)
13,Avellanedas (Corylus avellana)
54,Bosque mixto de frondosas autóctonas en la región biogeográfica Alpina
29,Castañares (Castanea sativa)
56,Fresnedas (Fraxinus spp.)
1,Hayedos (Fagus sylvatica)
15,Melojares (Quercus pyrenaica)
391,Mezcla de coníferas autóctonas en la región biogeográfica Alpina
401,Mezcla de coníferas y frondosas autóctonas en la región biogeográfica Alpina
64,"Otras coníferas alóctonas de producción (Larix spp., Pseudotsuga spp., etc)"
37,Palmerales y mezclas de palmeras con otras especies
27,Pinar de pino canario (Pinus canariensis)
22,Pinar de pino negro (Pinus uncinata)
58,Pinar de pino radiata
28,Pinsapares (Abies pinsapo)
17,Quejigares de Quercus canariensis
4,Robledales de Q. robur y/o Q. petraea
14,Robledales de roble pubescente (Quercus humilis)
9,Acebedas (Ilex aquifolium)
3,Bosques mixtos de frondosas autóctonas en region biogeográfica atlántica
34,Dehesas
392,Mezcla de coníferas autóctonas en la región biogeográfica Atlántica
402,Mezcla de coníferas y frondosas autóctonas en la región biogeográfica Atlántica
62,Pinares de pino pinaster en región atlántica
63,Repoblación de Quercus rubra
888,Repoblaciones con especie desconocida
